StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q0,Q1,Q2,Q3,Q3,Q3_7_TEXT,Q4,Q13,Q14,Q5,Q6,Q6_15_TEXT,Q7,Q8,Q9,Q10,Q11,Q11_5_TEXT,Q12
2024-10-11 16:33:17,2024-10-11 16:34:05,IP Address,100,48,True,2024-10-11 16:34:05,R_7SsSCmkZLlxNlS1,anonymous,EN,0.8999999761581421,Agree,Registered Nurse (RN),California,No,,,,,,,,,,,,,,,
2024-10-13 15:08:19,2024-10-13 15:10:16,IP Address,100,117,True,2024-10-13 15:10:17,R_4FScSIgVLqLzVbM,anonymous,EN,1,Agree,Physician Assistant (PA),Alaska,Yes,"Chat GPT,Bio GPT",,Emergency Medicine,,no,No,"Write recommendation letters,Create patient handouts",,Monthly,Somewhat likely,Somewhat accurate [a few mistakes],,No concerns,,
2024-10-09 11:27:48,2024-10-09 11:46:17,IP Address,6,1108,False,2024-10-16 11:46:21,R_5cDwUAwERnUJHCV,anonymous,EN,0.800000011920929,Agree,,,,,,,,,,,,,,,,,,
2024-10-16 20:22:18,2024-10-16 20:22:43,IP Address,100,24,True,2024-10-16 20:22:43,R_5w5eFskxBzkmaD7,anonymous,EN,0.6000000238418579,Agree,Nurse Practitioner (NP),California,No,,,,,,,,,,,,,,,
2024-10-11 07:51:43,2024-10-11 07:53:10,IP Address,94,87,False,2024-10-18 07:53:11,R_6XAeBRB5Ouw7Dkl,anonymous,EN,0.800000011920929,Agree,Physician Assistant (PA),Tennessee,Yes,Chat GPT,,Oncology,,,No,Ask questions about a diagnosis,,A few times/rarely,Somewhat likely,"Neither accurate nor inaccurate [a number of mistakes, but still useable]",Moderate editing [5-10 changes],Concerns about accuracy,,Somewhat likely
2024-10-11 09:24:42,2024-10-11 09:25:07,IP Address,24,25,False,2024-10-18 09:25:09,R_1QMTxPvxXLKxDIl,anonymous,EN,0.699999988079071,Agree,Registered Nurse (RN),Florida,Yes,,,,,,,,,,,,,,,
2024-10-30 17:10:29,2024-10-30 17:13:57,IP Address,100,207,True,2024-10-30 17:13:57,R_1pbeind8FdBbwcY,anonymous,EN,1,Agree,Nurse Practitioner (NP),Kansas,No,,,,,,,,,,,,,,,
2024-12-29 12:00:51,2024-12-29 12:07:08,IP Address,100,376,True,2024-12-29 12:07:08,R_3D72EcjlVe5bY01,anonymous,EN,1,Agree,Nurse Practitioner (NP),California,Yes,"Chat GPT,Deep Cura",,Dermatology,,How accurate do the models need perform in order to be considered 90-100% reliable?,Yes,"Ask questions about a diagnosis,Ask questions about medical management,Write patient notes [medical record documentation]",,Weekly,Somewhat likely,Somewhat accurate [a few mistakes],Minimal editing [less than 5 changes],"Concerns about privacy,Concerns about accuracy",,Somewhat likely
2024-12-29 12:35:46,2024-12-29 12:37:26,IP Address,100,99,True,2024-12-29 12:37:27,R_6RkXJ0VaeEmcPCD,anonymous,EN,1,Agree,Nurse Practitioner (NP),California,Yes,Chat GPT,,Dermatology,,No,No,"Write recommendation letters,Write insurance authorization letters",,Weekly,Extremely likely,Somewhat accurate [a few mistakes],Minimal editing [less than 5 changes],No concerns,,Neither likely nor unlikely
2024-12-29 12:00:20,2024-12-29 12:00:33,IP Address,6,12,False,2025-01-05 12:00:37,R_3hnhq8LQwvfx1dP,anonymous,EN,1,Agree,,,,,,,,,,,,,,,,,,
