StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q0,Q1,Q2,Q2_5_TEXT,Q3,Q3_7_TEXT,Q4,Q4_5_TEXT,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q11_7_TEXT,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19
2024-09-13 10:14:01,2024-09-13 10:15:44,IP Address,100,102,True,2024-09-13 10:15:45,R_6j8Pnl73SoSiHQr,anonymous,EN,0.800000011920929,Agree,25-35,Female,,Hispanic or Latino,,Northeast,,"$30,000-$59,999",Yes,Yes,No,1-2 times per year,Yes,"Chat GPT,Anthropic Claude",,5 or more times,Yes,1-2 times,No,Somewhat accurate (Few mistakes),Yes,"Accuracy,Bias,Privacy",
2024-09-10 17:04:33,2024-09-10 17:05:08,IP Address,55,35,False,2024-09-17 17:05:10,R_6dTgCuTunCmUhXH,anonymous,EN,0.6000000238418579,Agree,36-45,Female,,"Asian,White/Caucasian",,West,,"$120,000+",Yes,Yes,Yes,5 or more times per year,Yes,,,,,,,,,,
2024-09-10 17:11:59,2024-09-10 17:13:10,IP Address,70,70,False,2024-09-17 17:13:14,R_3vYbTWXlicXVFmh,anonymous,EN,0.6000000238418579,Agree,36-45,Female,,Hispanic or Latino,,Northeast,,"$120,000+",Yes,Yes,Yes,5 or more times per year,Yes,Gemini,,5 or more times,Yes,,,,,,
2024-09-10 21:15:12,2024-09-10 21:19:23,IP Address,5,251,False,2024-09-17 21:19:27,R_1dzEp3Y65NrpP54,anonymous,EN,1,Agree,,,,,,,,,,,,,,,,,,,,,,,
2024-09-10 22:58:04,2024-09-10 23:12:07,IP Address,5,843,False,2024-09-17 23:12:08,R_7eRWfn5qUtEdeyq,anonymous,EN,1,Agree,,,,,,,,,,,,,,,,,,,,,,,
2024-09-11 04:46:24,2024-09-11 04:48:12,IP Address,70,108,False,2024-09-18 04:48:18,R_2zCoquSTLTInNv5,anonymous,EN,0.10000000149011612,Agree,46-60,Male,,White/Caucasian,,Other (please specify state or territory),France,"$30,000-$59,999",Yes,Yes,Yes,5 or more times per year,Yes,Chat GPT,,5 or more times,Yes,,,,,,
2024-09-18 12:26:16,2024-09-18 12:29:14,IP Address,100,178,True,2024-09-18 12:29:15,R_7J5bgDMaUxQxz6I,anonymous,EN,1,Agree,25-35,Female,,Asian,,West,,"$120,000+",Yes,Yes,Yes,3-4 times per year,Yes,"Chat GPT,Gemini",,5 or more times,Yes,3-4 times,I haven't seen my doctor,Somewhat accurate (Few mistakes),Yes,"Accuracy,Bias,Privacy",
2024-09-11 16:10:03,2024-09-11 16:10:18,IP Address,5,14,False,2024-09-18 16:10:22,R_8hmPHOv6XPW3UgI,anonymous,EN,0.699999988079071,Agree,,,,,,,,,,,,,,,,,,,,,,,
2024-09-11 16:46:14,2024-09-11 16:46:49,IP Address,5,35,False,2024-09-18 16:46:56,R_4QWZmZ3SxM4I0XD,anonymous,EN,0.800000011920929,Agree,,,,,,,,,,,,,,,,,,,,,,,
2024-09-12 09:42:14,2024-09-12 09:42:27,IP Address,5,12,False,2024-09-19 09:42:29,R_8g7Yw72LGMJwl8Q,anonymous,EN,0.20000000298023224,Agree,,,,,,,,,,,,,,,,,,,,,,,
2024-09-22 09:17:27,2024-09-22 09:20:19,IP Address,100,172,True,2024-09-22 09:20:20,R_5lVXkiFVhiipEUz,anonymous,EN,1,Agree,36-45,Male,,Hispanic or Latino,,Northeast,,"$60,000-$89,999",Yes,Yes,Yes,1-2 times per year,Yes,Chat GPT,,5 or more times,Yes,1-2 times,No,Somewhat accurate (Few mistakes),Yes,Accuracy,not sure which questions to ask. i feel like if i as the right question the better the answer will be.
2024-09-15 07:36:36,2024-09-15 13:12:28,IP Address,5,20151,False,2024-09-22 13:12:33,R_7pPqjXHen6q66iG,anonymous,EN,0.699999988079071,Agree,,,,,,,,,,,,,,,,,,,,,,,
2024-09-16 01:12:47,2024-09-16 01:12:56,IP Address,5,9,False,2024-09-23 01:12:59,R_2bS3WsnW9DXMfIt,anonymous,EN,0.6000000238418579,Agree,,,,,,,,,,,,,,,,,,,,,,,
2024-09-23 22:10:36,2024-09-23 22:12:34,IP Address,100,118,True,2024-09-23 22:12:35,R_4gSMW0ygxNu0q8V,anonymous,EN,0,Agree,36-45,Female,,Asian,,Prefer not to state,,"$30,000-$59,999",Yes,Yes,Yes,5 or more times per year,Yes,Chat GPT,,5 or more times,Yes,5 or more times,No,Somewhat accurate (Few mistakes),Yes,"Accuracy,Bias,Privacy",
2024-09-22 09:11:10,2024-09-22 09:11:56,IP Address,5,46,False,2024-09-29 09:12:00,R_4wOVGvj4huH89TH,anonymous,EN,1,Agree,,,,,,,,,,,,,,,,,,,,,,,
2024-09-27 11:56:56,2024-09-27 11:57:35,IP Address,5,38,False,2024-10-04 11:57:35,R_3x8tXV9uTbIoJ21,anonymous,EN,1,Agree,,,,,,,,,,,,,,,,,,,,,,,
2024-10-08 05:19:09,2024-10-08 05:20:39,IP Address,100,90,True,2024-10-08 05:20:40,R_2Jx4ZGL8pGUNIge,anonymous,EN,0.699999988079071,Agree,25-35,Male,,Asian,,Prefer not to state,,"$60,000-$89,999",Yes,Yes,Yes,0 times per year,Yes,Chat GPT,,5 or more times,No,,,,,,
2024-10-08 05:18:36,2024-10-08 05:19:05,IP Address,5,28,False,2024-10-15 05:19:09,R_8suIQHQO4e4Ytha,anonymous,EN,1,Agree,,,,,,,,,,,,,,,,,,,,,,,
2024-11-04 15:17:51,2024-11-04 15:19:21,IP Address,100,89,True,2024-11-04 15:19:22,R_8OO16bIMKaVUVsk,anonymous,EN,1,Agree,36-45,Transgender,,White/Caucasian,,Northeast,,"$90,000-$119,999",Yes,Yes,Yes,3-4 times per year,No,,,,,,,,,,
2024-11-04 15:49:29,2024-11-04 15:56:26,IP Address,100,417,True,2024-11-04 15:56:26,R_8vRDfc4WgI7vA09,anonymous,EN,1,Agree,36-45,Male,,White/Caucasian,,Midwest,,"$120,000+",Yes,Yes,Yes,5 or more times per year,No,,,,,,,,,,
2024-11-04 16:11:11,2024-11-04 16:12:53,IP Address,100,102,True,2024-11-04 16:12:54,R_3PsOrcdnctUHs5H,anonymous,EN,1,Agree,46-60,Female,,Asian,,Other (please specify state or territory),Canada,"$0-$29,999",Yes,No,Yes,1-2 times per year,Yes,Chat GPT,,5 or more times,Yes,Never,Yes,Somewhat accurate (Few mistakes),Yes,"Accuracy,Bias,Privacy",
2024-11-04 16:04:11,2024-11-04 16:20:12,IP Address,100,961,True,2024-11-04 16:20:13,R_8taCbwkFKUQE6XL,anonymous,EN,1,Agree,36-45,Female,,White/Caucasian,,West,,"$120,000+",Yes,Yes,No,5 or more times per year,Yes,"Chat GPT,Google Bard,Gemini,Anthropic Claude",,5 or more times,Yes,5 or more times,No,Very accurate (No mistakes),Yes,None,sharing symptoms for diagnosis
2024-11-04 19:30:02,2024-11-04 19:35:40,IP Address,100,337,True,2024-11-04 19:35:40,R_6SZ2wrpnH52qJNf,anonymous,EN,1,Agree,25-35,Male,,White/Caucasian,,West,,"$120,000+",Yes,Yes,Yes,1-2 times per year,Yes,"Chat GPT,Google Bard,Gemini",,5 or more times,Yes,3-4 times,No,Somewhat accurate (Few mistakes),Yes,Accuracy,"I had an allergic reaction to an agave plant while gardening. Within 24 hours, red spots and open sores appeared on my arms and legs. I sent a picture to chatGPT and asked about it. It suggested the situation was more serious than I expected and recommended I go to a doctor. Its response influenced my decision to go to Urgent Care and to receive treatment."
2024-11-04 21:14:46,2024-11-04 21:18:03,IP Address,100,197,True,2024-11-04 21:18:04,R_7eQkBoCbmnHDpER,anonymous,EN,1,Agree,46-60,Male,,White/Caucasian,,West,,"$120,000+",Yes,Yes,Yes,1-2 times per year,Yes,Chat GPT,,5 or more times,Yes,3-4 times,No,Somewhat accurate (Few mistakes),Yes,"Accuracy,Bias,Privacy",It seems good for interpreting medical-ese test results obtained prior to seeing a doctor.
2024-11-04 23:39:18,2024-11-05 23:21:51,IP Address,100,85352,True,2024-11-05 23:21:52,R_4CFkcZdRdYWE8MN,anonymous,EN,1,Agree,46-60,Female,,White/Caucasian,,Prefer not to state,,Prefer not to say,Yes,Yes,Yes,0 times per year,Yes,Chat GPT,,3-4 times,No,,,,,,
2024-11-06 22:47:39,2024-11-06 22:51:05,IP Address,100,205,True,2024-11-06 22:51:06,R_5hA9CP8OXhE6DBg,anonymous,EN,1,Agree,Over 60,Male,,White/Caucasian,,West,,"$120,000+",Yes,Yes,Yes,5 or more times per year,Yes,"Chat GPT,Google Bard,Gemini,Anthropic Claude,Other",Copilot,5 or more times,Yes,5 or more times,Yes,Somewhat accurate (Few mistakes),Yes,"Accuracy,Bias",One of many examples is that I was unable to urinate after a severe urinary infection and ChatGPT was incredibly helpful helping me re-learn how to synchronize breathing with urination
2024-11-04 11:24:12,2024-11-04 11:24:38,IP Address,5,26,False,2024-11-11 11:24:40,R_5upP65uCmubosRR,anonymous,EN,1,Agree,,,,,,,,,,,,,,,,,,,,,,,
2024-11-04 19:31:04,2024-11-04 19:32:18,IP Address,70,73,False,2024-11-11 19:32:20,R_5c1INRyhrXnzgr0,anonymous,EN,1,Agree,46-60,Male,,White/Caucasian,,West,,"$120,000+",Yes,Yes,No,5 or more times per year,Yes,"Chat GPT,Anthropic Claude",,5 or more times,Yes,,,,,,
2024-11-04 22:55:05,2024-11-04 22:55:12,IP Address,5,7,False,2024-11-11 22:55:19,R_4NVaE4soZUWVtSo,anonymous,EN,1,Agree,,,,,,,,,,,,,,,,,,,,,,,
2024-11-04 14:07:25,2024-11-05 00:33:14,IP Address,5,37549,False,2024-11-12 00:33:19,R_2dHfSHxympZcmyJ,anonymous,EN,1,Agree,,,,,,,,,,,,,,,,,,,,,,,
2024-11-09 21:53:28,2024-11-09 21:54:23,IP Address,5,54,False,2024-11-16 21:54:30,R_5aDfZFeJ8pO3L37,anonymous,EN,1,Agree,,,,,,,,,,,,,,,,,,,,,,,
2024-11-11 21:45:24,2024-11-11 21:46:28,IP Address,70,64,False,2024-11-18 21:46:31,R_5tLIFaHZ5mhZHPX,anonymous,EN,0.8999999761581421,Agree,25-35,Female,,Asian,,West,,"$120,000+",Yes,Yes,Yes,1-2 times per year,Yes,Anthropic Claude,,5 or more times,Yes,,,,,,
