StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q7_3_TEXT,Q8,Q9,Q9_5_TEXT,Q10,Q11,Q12,Q12_4_TEXT,Q13,Q13_6_TEXT,Q14,Q15,Q15_7_TEXT,Q16,Q16_18_TEXT,Q17,Q18,Q19,Q20
2024-03-24 12:02:28,2024-03-24 12:03:52,IP Address,105.21.72.74,100,84,True,2024-03-24 12:03:53,R_8fJM5QdiKnChJ33,,,,,0.321,32.5714,anonymous,EN,Agree,Yes,Yes,California,,Urban,Clinical,,Yes,"Concerns about accuracy,Concerns about bias",,Somewhat likely,,Female,,Black or African American,,No,ChatGPT,,"Ask questions about medical management,Create patient handouts,Create marketing/advertising content (website/print/email/social)",,Monthly,Somewhat accurate (a few mistakes),Moderate editing (5-10 changes),Positively
2024-03-25 10:16:02,2024-03-25 10:20:35,IP Address,69.181.47.48,100,273,True,2024-03-25 10:20:36,R_7qIDkgSUNtEZqWA,,,,,37.7562,-122.4866,anonymous,EN,Agree,Yes,Yes,California,,Urban,Clinical,,Yes,Concerns about accuracy,,Somewhat likely,"Pretty good tool to streamline workflows. Particularly useful for debugging code and  revising text. not the end all be all for getting work done, but a helpful assist nonetheless ",Male,,Black or African American,,No,ChatGPT,,Other,debug code for research,Monthly,"Neither accurate nor inaccurate (a number of mistakes, but still useable)",Moderate editing (5-10 changes),Positively
2024-03-25 17:45:55,2024-03-25 17:51:08,IP Address,23.114.7.82,100,313,True,2024-03-25 17:51:09,R_2rr3awWlCk2zzg5,,,,,38.6283,-121.3307,anonymous,EN,Agree,Yes,Yes,California,,Urban,Clinical,,Yes,No concerns,,Extremely likely,,Male,,Asian,,No,ChatGPT,,"Generate differential diagnoses,Ask questions about medical management,Studying: Answer questions about topics,Studying: Summarize content (e.g. lectures, text resources)",,Weekly,Somewhat accurate (a few mistakes),Minimal editing (less than 5 changes),Positively
2024-03-25 18:34:22,2024-03-25 18:36:11,IP Address,70.187.227.248,100,108,True,2024-03-25 18:36:12,R_2EEg5AqhMT300DX,,,,,33.5945,-117.8304,anonymous,EN,Agree,Yes,Yes,Massachusetts,,Urban,Pre-clinical,,Yes,"Concerns about privacy,Concerns about accuracy,Concerns about bias,Concerns about patients or non-physicians using it to get medical information",,Somewhat likely,,Male,,Asian,,No,ChatGPT,,"Generate differential diagnoses,Ask questions about medical management,Studying: Answer questions about topics,Studying: Generate practice questions/flashcards,Summarize research papers,Write manuscripts,Create marketing/advertising content (website/print/email/social)",,Monthly,"Neither accurate nor inaccurate (a number of mistakes, but still useable)",Moderate editing (5-10 changes),Positively
2024-03-25 18:40:12,2024-03-25 18:43:08,IP Address,73.141.0.134,100,176,True,2024-03-25 18:43:09,R_3QR0sn2KWlHH8PC,,,,,39.9206,-75.1826,anonymous,EN,Agree,Yes,Yes,Pennsylvania,,Urban,Clinical,,No,"Concerns about privacy,Concerns about accuracy,Concerns about bias",,Somewhat likely,,Female,,"White or Caucasian,Asian",,No,,,,,,,,
2024-03-25 19:17:54,2024-03-25 19:19:51,IP Address,172.58.89.58,100,117,True,2024-03-25 19:19:52,R_2s4k8tEtW4aD1ys,,,,,37.7958,-122.4203,anonymous,EN,Agree,Yes,Yes,Florida,,Urban,Pre-clinical,,Yes,Concerns about accuracy,,Extremely likely,,Male,,Asian,,No,ChatGPT,,"Generate response to a patient (email/letter/text),Studying: Answer questions about topics,Studying: Summarize content (e.g. lectures, text resources),Write clinical or academic presentations",,A few times/rarely,"Neither accurate nor inaccurate (a number of mistakes, but still useable)",Moderate editing (5-10 changes),No impact
2024-03-24 15:13:41,2024-03-24 15:47:23,IP Address,192.136.67.6,12,2021,False,2024-03-31 15:47:24,R_2nRfl7EUu4QKUAp,,,,,,,anonymous,EN,Agree,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,
2024-04-02 20:28:45,2024-04-02 20:31:18,IP Address,24.187.184.140,100,152,True,2024-04-02 20:31:19,R_2OZCZqV85O5u7Mf,,,,,40.6469,-73.9344,anonymous,EN,Agree,Yes,Yes,New York,,Urban,Clinical,,Yes,Concerns about accuracy,,Extremely likely,,Male,,White or Caucasian,,No,"ChatGPT,Google Bard,GPT-4,Bing Chat,Other",Claude 3 Opus,"Generate differential diagnoses,Ask questions about medical management,Summarize EHR notes,Write EHR notes (medical record documentation),Studying: Answer questions about topics,Studying: Summarize content (e.g. lectures, text resources),Summarize research papers,Write manuscripts,Write clinical or academic presentations,Other",Case report assignments,Weekly,"Neither accurate nor inaccurate (a number of mistakes, but still useable)",Moderate editing (5-10 changes),Positively
2024-04-02 22:05:10,2024-04-02 22:08:11,IP Address,93.190.143.159,100,181,True,2024-04-02 22:08:12,R_235DEmyrpTmFZeN,,,,,51.9981,4.198,anonymous,EN,Agree,Yes,No,,Iran,Urban,Clinical,,Yes,Concerns about accuracy,,Extremely likely,,Male,,Other,,No,"ChatGPT,Google Bard,Bing Chat",,"Studying: Answer questions about topics,Summarize research papers,Write manuscripts,Write clinical or academic presentations,Create marketing/advertising content (website/print/email/social)",,Weekly,Somewhat accurate (a few mistakes),Significant editing (greater than 10 changes),Positively
2024-04-03 01:35:53,2024-04-03 01:38:43,IP Address,136.24.248.158,100,169,True,2024-04-03 01:38:43,R_1Lj5XQvgvy3lUzb,,,,,37.7642,-122.3993,anonymous,EN,Agree,Yes,Yes,California,,Urban,Pre-clinical,,Yes,"Concerns about privacy,Concerns about accuracy,Concerns about bias",,Somewhat likely,,Female,,Black or African American,,No,"ChatGPT,GPT-4,Bing Chat,Other",Telegram Bots,"Studying: Summarize content (e.g. lectures, text resources)",,A few times/rarely,Somewhat accurate (a few mistakes),No editing,Positively
2024-04-03 05:34:20,2024-04-03 05:34:45,IP Address,104.15.70.204,100,24,True,2024-04-03 05:34:45,R_2f4b1DwNAg6JlQG,,,,,37.5337,-122.0289,anonymous,EN,Agree,No,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-03 07:53:02,2024-04-03 07:55:55,IP Address,144.118.77.89,100,173,True,2024-04-03 07:55:56,R_7KUtY5pTSDp7VrZ,,,,,39.9597,-75.1995,anonymous,EN,Agree,Yes,Yes,Pennsylvania,,Urban,Clinical,,Yes,"Concerns about accuracy,Concerns about bias,Concerns about patients or non-physicians using it to get medical information",,Somewhat likely,"Have noticed a lot of bias, needs significant improvement and should only be used an aid in improving writing ",Female,,White or Caucasian,,Yes,ChatGPT,,Create marketing/advertising content (website/print/email/social),,A few times/rarely,Somewhat accurate (a few mistakes),Moderate editing (5-10 changes),No impact
2024-04-03 09:07:34,2024-04-03 09:08:58,IP Address,192.136.67.6,100,84,True,2024-04-03 09:08:59,R_2JELci3B4UoIwPZ,,,,,36.1789,-86.8035,anonymous,EN,Agree,Yes,Yes,Tennessee,,Urban,Pre-clinical,,Yes,"No concerns,Concerns about privacy,Concerns about bias,Concerns about patients or non-physicians using it to get medical information",,Somewhat likely,,Female,,Black or African American,,No,ChatGPT,,"Studying: Summarize content (e.g. lectures, text resources),Studying: Generate practice questions/flashcards",,Weekly,Somewhat accurate (a few mistakes),Minimal editing (less than 5 changes),Positively
2024-04-03 09:45:29,2024-04-03 09:47:14,IP Address,73.228.246.217,100,105,True,2024-04-03 09:47:15,R_7dFQXuY19nyFeKD,,,,,44.9152,-93.3222,anonymous,EN,Agree,Yes,Yes,Minnesota,,Urban,Clinical,,Yes,"Concerns about privacy,Concerns about accuracy,Concerns about bias,Concerns about patients or non-physicians using it to get medical information",,Extremely likely,,Female,,White or Caucasian,,No,ChatGPT,,"Studying: Answer questions about topics,Write clinical or academic presentations",,Monthly,Somewhat accurate (a few mistakes),Significant editing (greater than 10 changes),Positively
2024-04-03 11:21:03,2024-04-03 11:26:07,IP Address,108.4.236.99,100,304,True,2024-04-03 11:26:08,R_7V2YUWc4FoGmrt5,,,,,39.9357,-75.1832,anonymous,EN,Agree,No,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-03 11:29:26,2024-04-03 11:34:03,IP Address,86.36.98.3,100,277,True,2024-04-03 11:34:04,R_42a1TNjlU9RDocF,,,,,25.2925,51.5321,anonymous,EN,Agree,Yes,No,,Qatar,Urban,Clinical,,Yes,"Concerns about privacy,Concerns about accuracy,Concerns about bias,Concerns about patients or non-physicians using it to get medical information",,Extremely likely,,Female,,Black or African American,,No,"ChatGPT,Google Bard,GPT-4,Bing Chat",,"Generate/identify photographs to help with diagnosis,Ask questions about medical management,Create patient handouts,Studying: Answer questions about topics,Studying: Summarize content (e.g. lectures, text resources),Studying: Generate practice questions/flashcards,Summarize research papers",,Daily,Somewhat accurate (a few mistakes),Moderate editing (5-10 changes),Positively
2024-04-03 11:45:29,2024-04-03 12:35:12,IP Address,104.28.38.71,100,2982,True,2024-04-03 12:35:13,R_4irsLfsDfvWWEsM,,,,,24.8591,66.9983,anonymous,EN,Agree,Yes,No,,Pakistan,Urban,Pre-clinical,,Yes,"Concerns about privacy,Concerns about accuracy,Concerns about bias,Concerns about patients or non-physicians using it to get medical information",,Extremely likely,,Female,,Asian,,No,"ChatGPT,GPT-4",,"Studying: Answer questions about topics,Studying: Summarize content (e.g. lectures, text resources),Studying: Generate practice questions/flashcards,Summarize research papers,Write clinical or academic presentations",,Daily,Somewhat accurate (a few mistakes),Moderate editing (5-10 changes),Positively
2024-04-03 15:50:02,2024-04-03 15:50:24,IP Address,99.239.217.142,100,22,True,2024-04-03 15:50:25,R_2is83naAqnwnnwv,,,,,43.7012,-79.3877,anonymous,EN,Agree,No,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-03 16:27:40,2024-04-03 16:29:14,IP Address,104.28.76.231,100,93,True,2024-04-03 16:29:15,R_7owlKSOiXeLNaBx,,,,,38.894,-77.0365,anonymous,EN,Agree,Yes,Yes,California,,Urban,Clinical,,Yes,"Concerns about privacy,Concerns about accuracy,Concerns about bias,Concerns about patients or non-physicians using it to get medical information",,Extremely likely,,Male,,Asian,,No,"ChatGPT,GPT-4",,"Write manuscripts,Write clinical or academic presentations,Other",Coding,Weekly,"Neither accurate nor inaccurate (a number of mistakes, but still useable)",Moderate editing (5-10 changes),No impact
2024-04-03 17:31:45,2024-04-03 17:34:25,IP Address,99.8.87.222,100,159,True,2024-04-03 17:34:25,R_21585bsR5Dj9o2Z,,,,,42.2807,-83.7801,anonymous,EN,Agree,Yes,Yes,Michigan,,Suburban,Other,M4 post MS year,Yes,"Concerns about privacy,Concerns about accuracy,Concerns about patients or non-physicians using it to get medical information",,Extremely likely,"As a medical person, it has made coding and using programming soooo much more accessible ",Male,,Other,,No,GPT-4,,"Generate differential diagnoses,Generate response to a patient (email/letter/text),Other","Coding (programming) ",Daily,"Neither accurate nor inaccurate (a number of mistakes, but still useable)",Moderate editing (5-10 changes),Positively
2024-04-03 23:07:23,2024-04-03 23:09:35,IP Address,62.56.127.155,100,132,True,2024-04-03 23:09:36,R_2umwcVJ6JSJeKc1,,,,,51.3926,-0.1977,anonymous,EN,Agree,Yes,No,,United Kingdom of Great Britain and Northern Ireland,Urban,Clinical,,Yes,"Concerns about accuracy,Concerns about bias,Concerns about patients or non-physicians using it to get medical information",,Extremely likely,,Male,,Black or African American,,No,"ChatGPT,Google Bard",,"Studying: Answer questions about topics,Studying: Summarize content (e.g. lectures, text resources),Summarize research papers,Create marketing/advertising content (website/print/email/social)",,Weekly,Somewhat accurate (a few mistakes),Minimal editing (less than 5 changes),Positively
2024-04-04 19:44:28,2024-04-04 19:48:55,IP Address,35.147.107.99,100,267,True,2024-04-04 19:48:56,R_21HvvhgYjOmsBRb,,,,,29.5196,-98.5852,anonymous,EN,Agree,Yes,Yes,Texas,,Urban,Pre-clinical,,Yes,"Concerns about accuracy,Concerns about bias,Concerns about patients or non-physicians using it to get medical information,Other",Concerns about lack of transparency on sources,Somewhat unlikely,,Female,,Asian,,No,ChatGPT,,Other,Try out its function in literature review,A few times/rarely,Extremely inaccurate (completely unusable),Significant editing (greater than 10 changes),No impact
2024-04-04 19:48:05,2024-04-04 19:51:06,IP Address,104.28.97.24,100,181,True,2024-04-04 19:51:06,R_1V8VytXeOqnJ1JG,,,,,29.7805,-95.5129,anonymous,EN,Agree,Yes,Yes,Texas,,Urban,Clinical,,No,"Concerns about privacy,Concerns about accuracy,Concerns about bias,Concerns about patients or non-physicians using it to get medical information",,Somewhat unlikely,"Language models aren't ""fact"" models and cannot critically think - they go off the content they are fed. We still have to explicitly add code to make them not racist/sexist etc (which doesn't always work) because otherwise it regurgitates the racist & sexist & etc content it is fed. I think it's OK for maybe re-explaining a concept in different words but it cannot be fully relied on for factual information. Anything it says should be verified by checking a reliable source...",Non-binary,,White or Caucasian,,No,,,,,,,,
2024-04-04 19:53:48,2024-04-04 19:56:17,IP Address,72.177.204.45,100,148,True,2024-04-04 19:56:17,R_7SV0Mv8nz7ifqxj,,,,,29.522,-98.5974,anonymous,EN,Agree,Yes,Yes,Texas,,Urban,Pre-clinical,,No,"Concerns about privacy,Concerns about accuracy,Concerns about bias,Concerns about patients or non-physicians using it to get medical information",,Somewhat likely,"I feel like it's probably inevitable that we will have to use these as physicians but what concerns me is that profit-driven hospital execs will use it to decrease the amounts of physicians, and there will be no accountability for the damage that may cause patients.",Female,,Asian,,No,,,,,,,,
2024-04-04 20:02:54,2024-04-04 20:04:18,IP Address,162.197.44.54,100,83,True,2024-04-04 20:04:18,R_7NODwuT497w1Zqf,,,,,29.5196,-98.5852,anonymous,EN,Agree,Yes,Yes,Texas,,Urban,Pre-clinical,,Yes,"Concerns about privacy,Concerns about accuracy,Concerns about bias,Concerns about patients or non-physicians using it to get medical information",,Extremely likely,,Male,,White or Caucasian,,No,"ChatGPT,Google Bard",,"Studying: Answer questions about topics,Studying: Summarize content (e.g. lectures, text resources),Studying: Generate practice questions/flashcards",,A few times/rarely,Somewhat accurate (a few mistakes),Moderate editing (5-10 changes),No impact
2024-04-04 20:01:36,2024-04-04 20:04:50,IP Address,35.147.108.20,100,193,True,2024-04-04 20:04:50,R_1t3Snm8c7zF9y4j,,,,,29.5196,-98.5852,anonymous,EN,Agree,Yes,Yes,Texas,,Urban,Pre-clinical,,No,"Concerns about privacy,Concerns about accuracy,Concerns about bias,Concerns about patients or non-physicians using it to get medical information",,Somewhat unlikely,"I can see ethical places where AI based language models can exist in medicine (generating differentials, spotting abnormalities in imaging or microscopy) but as it currently stands, AI is not regulated enough to function in professional spaces. I do think that AI is here to stay so it’s important to generate guidelines for its use in the medical sphere. ",Non-binary,,White or Caucasian,,No,,,,,,,,
2024-04-04 20:50:19,2024-04-04 20:52:18,IP Address,45.30.143.163,100,119,True,2024-04-04 20:52:19,R_3HACl1uhrvYFWin,,,,,29.5652,-98.6145,anonymous,EN,Agree,Yes,Yes,Texas,,Urban,Pre-clinical,,Yes,"Concerns about privacy,Concerns about accuracy,Concerns about bias,Concerns about patients or non-physicians using it to get medical information",,Neither likely nor unlikely,,Male,,White or Caucasian,,No,ChatGPT,,"Generate differential diagnoses,Studying: Answer questions about topics,Studying: Summarize content (e.g. lectures, text resources),Studying: Generate practice questions/flashcards",,Monthly,"Neither accurate nor inaccurate (a number of mistakes, but still useable)",Significant editing (greater than 10 changes),No impact
2024-04-05 19:36:11,2024-04-05 19:38:35,IP Address,66.30.232.22,100,143,True,2024-04-05 19:38:36,R_2BQPiidHoSJN9bI,,,,,42.3649,-71.0987,anonymous,EN,Agree,Yes,Yes,Ohio,,Suburban,Pre-clinical,,Yes,"Concerns about privacy,Concerns about accuracy,Concerns about bias,Concerns about patients or non-physicians using it to get medical information",,Extremely likely,,Female,,White or Caucasian,,Yes,"ChatGPT,Bing Chat",,"Summarize EHR notes,Write EHR notes (medical record documentation),Studying: Answer questions about topics,Write manuscripts,Create marketing/advertising content (website/print/email/social)",,Weekly,Somewhat accurate (a few mistakes),Minimal editing (less than 5 changes),Positively
2024-04-02 20:52:53,2024-04-02 20:53:05,IP Address,104.28.55.232,12,11,False,2024-04-09 20:53:10,R_7qz8JNPYvuqeLsZ,,,,,,,anonymous,EN,Agree,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,
2024-04-02 21:10:16,2024-04-02 21:10:46,IP Address,68.173.133.87,12,29,False,2024-04-09 21:10:50,R_2doYlZE46vzCaoE,,,,,,,anonymous,EN,Agree,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,
2024-04-02 21:11:28,2024-04-02 21:12:14,IP Address,54.215.140.113,54,46,False,2024-04-09 21:12:15,R_7r39JsLo0L9AS9h,,,,,,,anonymous,EN,Agree,Yes,Yes,California,,Suburban,Pre-clinical,,Yes,,,,,,,,,,,,,,,,,
2024-04-02 21:31:42,2024-04-02 21:38:18,IP Address,216.24.177.23,4,395,False,2024-04-09 21:38:19,R_20vMsrRo3JegLjI,,,,,,,anonymous,EN,Agree,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-03 00:09:43,2024-04-03 00:10:04,IP Address,132.210.111.19,12,21,False,2024-04-10 00:10:08,R_2rZqmg0ukXRDgxk,,,,,,,anonymous,EN,Agree,Yes,No,,,,,,,,,,,,,,,,,,,,,,,
2024-04-04 04:28:07,2024-04-04 04:28:31,IP Address,106.222.223.127,12,24,False,2024-04-11 04:28:35,R_47OnhfDH9r1qBdD,,,,,,,anonymous,EN,Agree,Yes,No,,,,,,,,,,,,,,,,,,,,,,,
2024-05-22 17:14:19,2024-05-22 20:51:43,IP Address,65.35.35.44,54,13044,False,2024-05-29 20:51:45,R_12z0MWFDNi3wEf3,,,,,,,anonymous,EN,Agree,Yes,Yes,Tennessee,,Suburban,Pre-clinical,,Yes,,,,,,,,,,,,,,,,,
2024-06-11 15:45:19,2024-06-11 15:47:06,IP Address,207.53.253.126,100,106,True,2024-06-11 15:47:07,R_33dFiNim6yLbIqS,,,,,37.7595,-122.4367,anonymous,EN,Agree,Yes,Yes,California,,Urban,Clinical,,Yes,"Concerns about accuracy,Concerns about bias",,Extremely likely,,Female,,Asian,,No,ChatGPT,,"Generate differential diagnoses,Ask questions about medical management,Studying: Answer questions about topics,Studying: Summarize content (e.g. lectures, text resources),Write manuscripts",,Daily,Extremely accurate (almost no mistakes),No editing,Positively
2024-06-11 15:17:16,2024-06-11 16:00:51,IP Address,128.218.42.136,100,2615,True,2024-06-11 16:00:52,R_1zO7y5hfvBfLlbS,,,,,37.7383,-122.4556,anonymous,EN,Agree,Yes,Yes,California,,Urban,Clinical,,No,"Concerns about privacy,Concerns about patients or non-physicians using it to get medical information",,Neither likely nor unlikely,,Female,,White or Caucasian,,No,,,,,,,,
2024-06-11 16:04:57,2024-06-11 16:06:46,IP Address,128.218.42.251,100,108,True,2024-06-11 16:06:46,R_3cLUlKrXtqqHA53,,,,,37.7383,-122.4556,anonymous,EN,Agree,Yes,Yes,California,,Urban,Clinical,,Yes,"Concerns about accuracy,Concerns about patients or non-physicians using it to get medical information",,Somewhat likely,,Female,,Asian,,No,ChatGPT,,Other,For non-medical purposes,A few times/rarely,Somewhat accurate (a few mistakes),No editing,No impact
