Column,Response,Count,Total Responses,Percentage
,"Generate differential diagnoses,Ask questions about medical management,Studying: Answer questions about topics,Studying: Generate practice questions/flashcards,Summarize research papers",1,52,1.92%
,"Generate differential diagnoses,Ask questions about medical management,Generate response to a patient (email/letter/text),Studying: Summarize content (e.g. lectures, text resources),Write manuscripts,Write clinical or academic presentations",1,52,1.92%
,Generate/identify photographs to help with diagnosis,1,52,1.92%
,"Generate differential diagnoses,Ask questions about medical management,Studying: Answer questions about topics,Studying: Summarize content (e.g. lectures, text resources),Write manuscripts",1,52,1.92%
,"Studying: Answer questions about topics,Studying: Summarize content (e.g. lectures, text resources),Summarize research papers,Create marketing/advertising content (website/print/email/social)",1,52,1.92%
,"Write manuscripts,Write clinical or academic presentations,Other",1,52,1.92%
,"Generate/identify photographs to help with diagnosis,Ask questions about medical management,Create patient handouts,Studying: Answer questions about topics,Studying: Summarize content (e.g. lectures, text resources),Studying: Generate practice questions/flashcards,Summarize research papers",1,52,1.92%
,"Studying: Answer questions about topics,Write clinical or academic presentations",1,52,1.92%
,Create marketing/advertising content (website/print/email/social),1,52,1.92%
,"Studying: Answer questions about topics,Summarize research papers,Write manuscripts,Write clinical or academic presentations,Create marketing/advertising content (website/print/email/social)",1,52,1.92%
,"Generate differential diagnoses,Ask questions about medical management,Summarize EHR notes,Write EHR notes (medical record documentation),Studying: Answer questions about topics,Studying: Summarize content (e.g. lectures, text resources),Summarize research papers,Write manuscripts,Write clinical or academic presentations,Other",1,52,1.92%
,"Ask questions about medical management,Create patient handouts,Create marketing/advertising content (website/print/email/social)",1,52,1.92%
,"Ask questions about medical management,Studying: Answer questions about topics,Summarize research papers",1,52,1.92%
,Studying: Generate practice questions/flashcards,1,52,1.92%
,"Generate differential diagnoses,Ask questions about medical management,Generate response to a patient (email/letter/text),Studying: Answer questions about topics,Studying: Summarize content (e.g. lectures, text resources),Studying: Generate practice questions/flashcards,Summarize research papers,Write manuscripts",1,52,1.92%
How accurate did you find AI-based language models?,Somewhat accurate (a few mistakes),23,52,44.23%
,"Neither accurate nor inaccurate (a number of mistakes, but still useable)",11,52,21.15%
,Extremely accurate (almost no mistakes),6,52,11.54%
"In a single output given to you by an AI-based language model, on average how many edits have you needed to make?",Moderate editing (5-10 changes),20,52,38.46%
,Minimal editing (less than 5 changes),11,52,21.15%
,No editing,6,52,11.54%
,Significant editing (greater than 10 changes),3,52,5.77%
Do you have any concerns about AI-based language models? (Check all that apply) - Selected Choice,"Concerns about privacy,Concerns about accuracy,Concerns about bias,Concerns about patients or non-physicians using it to get medical information",8,52,15.38%
,Concerns about accuracy,7,52,13.46%
,"Concerns about privacy,Concerns about accuracy,Concerns about bias",6,52,11.54%
,"Concerns about accuracy,Concerns about bias,Concerns about patients or non-physicians using it to get medical information",4,52,7.69%
,"Concerns about accuracy,Concerns about patients or non-physicians using it to get medical information",4,52,7.69%
,"Concerns about accuracy,Concerns about bias",3,52,5.77%
,"Concerns about privacy,Concerns about accuracy",3,52,5.77%
,Concerns about bias,3,52,5.77%
,No concerns,2,52,3.85%
,Concerns about privacy,2,52,3.85%
,"Concerns about privacy,Concerns about patients or non-physicians using it to get medical information",1,52,1.92%
,Concerns about patients or non-physicians using it to get medical information,1,52,1.92%
,"Concerns about privacy,Concerns about accuracy,Concerns about bias,Concerns about patients or non-physicians using it to get medical information,Other",1,52,1.92%
,"No concerns,Concerns about privacy",1,52,1.92%
,"Concerns about privacy,Concerns about bias",1,52,1.92%
