Demographic Group,Group Value,Question,Response,Count,Total Responses,Percentage
What is your ethnic background? - Selected Choice,Asian,,$60,1,8,12.50%
What is your ethnic background? - Selected Choice,Asian,,000-$89,1,8,12.50%
What is your ethnic background? - Selected Choice,Asian,,$0-$29,1,8,12.50%
What is your ethnic background? - Selected Choice,White/Caucasian,,$120,8,12,66.67%
What is your ethnic background? - Selected Choice,White/Caucasian,,000+,8,12,66.67%
What is your ethnic background? - Selected Choice,White/Caucasian,,$90,2,12,16.67%
What is your ethnic background? - Selected Choice,White/Caucasian,,000-$119,2,12,16.67%
What is your ethnic background? - Selected Choice,White/Caucasian,,999,3,12,25.00%
What is your ethnic background? - Selected Choice,White/Caucasian,,$30,1,12,8.33%
What is your ethnic background? - Selected Choice,White/Caucasian,,000-$59,1,12,8.33%
What is your ethnic background? - Selected Choice,White/Caucasian,,Prefer not to say,1,12,8.33%
What is your ethnic background? - Selected Choice,"Asian,White/Caucasian",,$120,1,1,100.00%
What is your ethnic background? - Selected Choice,"Asian,White/Caucasian",,000+,1,1,100.00%
What is your ethnic background? - Selected Choice,Hispanic or Latino,,Yes,4,4,100.00%
What is your ethnic background? - Selected Choice,Asian,,Yes,8,8,100.00%
What is your ethnic background? - Selected Choice,White/Caucasian,,Yes,12,12,100.00%
What is your ethnic background? - Selected Choice,"Asian,White/Caucasian",,Yes,1,1,100.00%
What is your ethnic background? - Selected Choice,Hispanic or Latino,,Yes,4,4,100.00%
What is your ethnic background? - Selected Choice,Asian,,Yes,7,8,87.50%
What is your ethnic background? - Selected Choice,Asian,,No,1,8,12.50%
What is your ethnic background? - Selected Choice,White/Caucasian,,Yes,12,12,100.00%
What is your ethnic background? - Selected Choice,"Asian,White/Caucasian",,Yes,1,1,100.00%
What is your ethnic background? - Selected Choice,Hispanic or Latino,,Yes,3,4,75.00%
What is your ethnic background? - Selected Choice,Hispanic or Latino,,No,1,4,25.00%
What is your ethnic background? - Selected Choice,Asian,,Yes,8,8,100.00%
What is your ethnic background? - Selected Choice,White/Caucasian,,Yes,9,12,75.00%
What is your ethnic background? - Selected Choice,White/Caucasian,,No,3,12,25.00%
What is your ethnic background? - Selected Choice,"Asian,White/Caucasian",,Yes,1,1,100.00%
What is your ethnic background? - Selected Choice,Hispanic or Latino,,3-4 times per year,1,4,25.00%
What is your ethnic background? - Selected Choice,Hispanic or Latino,,1-2 times per year,2,4,50.00%
What is your ethnic background? - Selected Choice,Hispanic or Latino,,5 or more times per year,1,4,25.00%
What is your ethnic background? - Selected Choice,Asian,,3-4 times per year,2,8,25.00%
What is your ethnic background? - Selected Choice,Asian,,1-2 times per year,4,8,50.00%
What is your ethnic background? - Selected Choice,Asian,,5 or more times per year,1,8,12.50%
What is your ethnic background? - Selected Choice,Asian,,0 times per year,1,8,12.50%
What is your ethnic background? - Selected Choice,White/Caucasian,,5 or more times per year,6,12,50.00%
What is your ethnic background? - Selected Choice,White/Caucasian,,1-2 times per year,3,12,25.00%
What is your ethnic background? - Selected Choice,White/Caucasian,,0 times per year,2,12,16.67%
What is your ethnic background? - Selected Choice,White/Caucasian,,3-4 times per year,1,12,8.33%
What is your ethnic background? - Selected Choice,"Asian,White/Caucasian",,5 or more times per year,1,1,100.00%
What is your ethnic background? - Selected Choice,Hispanic or Latino,,Yes,4,4,100.00%
What is your ethnic background? - Selected Choice,Asian,,Yes,8,8,100.00%
What is your ethnic background? - Selected Choice,White/Caucasian,,Yes,10,12,83.33%
What is your ethnic background? - Selected Choice,White/Caucasian,,No,2,12,16.67%
What is your ethnic background? - Selected Choice,"Asian,White/Caucasian",,Yes,1,1,100.00%
What is your ethnic background? - Selected Choice,African-American/Black/Afro-Caribbean,,Google Bard,1,1,100.00%
What is your ethnic background? - Selected Choice,African-American/Black/Afro-Caribbean,,Gemini,1,1,100.00%
What is your ethnic background? - Selected Choice,African-American/Black/Afro-Caribbean,,Anthropic Claude,1,1,100.00%
What is your ethnic background? - Selected Choice,Hispanic or Latino,,Chat GPT,3,4,75.00%
What is your ethnic background? - Selected Choice,Hispanic or Latino,,Anthropic Claude,1,4,25.00%
What is your ethnic background? - Selected Choice,Hispanic or Latino,,Gemini,1,4,25.00%
What is your ethnic background? - Selected Choice,Asian,,Chat GPT,7,8,87.50%
What is your ethnic background? - Selected Choice,Asian,,Google Bard,2,8,25.00%
What is your ethnic background? - Selected Choice,Asian,,Gemini,2,8,25.00%
What is your ethnic background? - Selected Choice,Asian,,Anthropic Claude,2,8,25.00%
What is your ethnic background? - Selected Choice,White/Caucasian,,Chat GPT,10,10,100.00%
What is your ethnic background? - Selected Choice,White/Caucasian,,Gemini,5,10,50.00%
What is your ethnic background? - Selected Choice,White/Caucasian,,Google Bard,4,10,40.00%
What is your ethnic background? - Selected Choice,White/Caucasian,,Anthropic Claude,4,10,40.00%
What is your ethnic background? - Selected Choice,White/Caucasian,,Other,1,10,10.00%
What is your ethnic background? - Selected Choice,Hispanic or Latino,,5 or more times,4,4,100.00%
What is your ethnic background? - Selected Choice,Asian,,5 or more times,8,8,100.00%
What is your ethnic background? - Selected Choice,White/Caucasian,,5 or more times,8,10,80.00%
What is your ethnic background? - Selected Choice,White/Caucasian,,3-4 times,2,10,20.00%
What is your ethnic background? - Selected Choice,Hispanic or Latino,,Yes,4,4,100.00%
What is your ethnic background? - Selected Choice,Asian,,Yes,7,8,87.50%
What is your ethnic background? - Selected Choice,Asian,,No,1,8,12.50%
What is your ethnic background? - Selected Choice,White/Caucasian,,Yes,9,10,90.00%
What is your ethnic background? - Selected Choice,White/Caucasian,,No,1,10,10.00%
What is your ethnic background? - Selected Choice,Hispanic or Latino,,5 or more times,1,3,33.33%
What is your ethnic background? - Selected Choice,Hispanic or Latino,,1-2 times,2,3,66.67%
What is your ethnic background? - Selected Choice,Asian,,1-2 times,2,6,33.33%
What is your ethnic background? - Selected Choice,Asian,,5 or more times,2,6,33.33%
What is your ethnic background? - Selected Choice,Asian,,3-4 times,1,6,16.67%
What is your ethnic background? - Selected Choice,Asian,,Never,1,6,16.67%
What is your ethnic background? - Selected Choice,White/Caucasian,,5 or more times,3,7,42.86%
What is your ethnic background? - Selected Choice,White/Caucasian,,3-4 times,4,7,57.14%
What is your ethnic background? - Selected Choice,Hispanic or Latino,,No,3,3,100.00%
What is your ethnic background? - Selected Choice,Asian,,No,3,6,50.00%
What is your ethnic background? - Selected Choice,Asian,,Yes,2,6,33.33%
What is your ethnic background? - Selected Choice,Asian,,I haven't seen my doctor,1,6,16.67%
What is your ethnic background? - Selected Choice,White/Caucasian,,No,5,7,71.43%
What is your ethnic background? - Selected Choice,White/Caucasian,,I haven't seen my doctor,1,7,14.29%
What is your ethnic background? - Selected Choice,White/Caucasian,,Yes,1,7,14.29%
What is your ethnic background? - Selected Choice,Hispanic or Latino,,Very accurate (No mistakes),1,3,33.33%
What is your ethnic background? - Selected Choice,Hispanic or Latino,,Somewhat accurate (Few mistakes),2,3,66.67%
What is your ethnic background? - Selected Choice,Asian,,Somewhat accurate (Few mistakes),6,6,100.00%
What is your ethnic background? - Selected Choice,White/Caucasian,,Somewhat accurate (Few mistakes),5,7,71.43%
What is your ethnic background? - Selected Choice,White/Caucasian,,Very accurate (No mistakes),2,7,28.57%
What is your ethnic background? - Selected Choice,Hispanic or Latino,,Yes,3,3,100.00%
What is your ethnic background? - Selected Choice,Asian,,Yes,5,6,83.33%
What is your ethnic background? - Selected Choice,Asian,,No,1,6,16.67%
What is your ethnic background? - Selected Choice,White/Caucasian,,Yes,7,7,100.00%
What is your ethnic background? - Selected Choice,Hispanic or Latino,,Privacy,2,3,66.67%
What is your ethnic background? - Selected Choice,Hispanic or Latino,,Accuracy,2,3,66.67%
What is your ethnic background? - Selected Choice,Hispanic or Latino,,Bias,1,3,33.33%
What is your ethnic background? - Selected Choice,Asian,,Accuracy,5,6,83.33%
What is your ethnic background? - Selected Choice,Asian,,Bias,5,6,83.33%
What is your ethnic background? - Selected Choice,Asian,,Privacy,5,6,83.33%
What is your ethnic background? - Selected Choice,White/Caucasian,,Accuracy,5,7,71.43%
What is your ethnic background? - Selected Choice,White/Caucasian,,Bias,4,7,57.14%
What is your ethnic background? - Selected Choice,White/Caucasian,,Privacy,2,7,28.57%
What is your ethnic background? - Selected Choice,White/Caucasian,,None,1,7,14.29%
