Column,Response,Count,Total Responses,Percentage
,"Studying: Answer questions about topics,Studying: Summarize content (e.g. lectures, text resources),Write clinical or academic presentations",1,131,0.76%
,"Write EHR notes (medical record documentation),Generate response to a patient (email/letter/text)",1,131,0.76%
,"Studying: Summarize content (e.g. lectures, text resources),Studying: Generate practice questions/flashcards,Summarize research papers",1,131,0.76%
,"Studying: Answer questions about topics,Summarize research papers,Write manuscripts,Write clinical or academic presentations",1,131,0.76%
,"Generate differential diagnoses,Ask questions about medical management,Generate response to a patient (email/letter/text),Studying: Answer questions about topics,Studying: Summarize content (e.g. lectures, text resources),Studying: Generate practice questions/flashcards,Summarize research papers,Write manuscripts",1,131,0.76%
,"Studying: Answer questions about topics,Studying: Summarize content (e.g. lectures, text resources),Studying: Generate practice questions/flashcards,Summarize research papers",1,131,0.76%
,"Generate differential diagnoses,Ask questions about medical management,Studying: Answer questions about topics",1,131,0.76%
,"Ask questions about medical management,Studying: Answer questions about topics,Studying: Summarize content (e.g. lectures, text resources),Studying: Generate practice questions/flashcards,Summarize research papers,Write manuscripts",1,131,0.76%
,"Ask questions about medical management,Summarize EHR notes,Write EHR notes (medical record documentation),Studying: Answer questions about topics,Studying: Summarize content (e.g. lectures, text resources),Studying: Generate practice questions/flashcards,Summarize research papers,Write manuscripts,Write clinical or academic presentations",1,131,0.76%
,Write clinical or academic presentations,1,131,0.76%
,Studying: Generate practice questions/flashcards,1,131,0.76%
,"Ask questions about medical management,Studying: Answer questions about topics,Summarize research papers",1,131,0.76%
,"Ask questions about medical management,Create patient handouts,Create marketing/advertising content (website/print/email/social)",1,131,0.76%
,"Generate differential diagnoses,Ask questions about medical management,Studying: Answer questions about topics,Studying: Generate practice questions/flashcards,Summarize research papers,Write manuscripts,Create marketing/advertising content (website/print/email/social)",1,131,0.76%
,"Generate response to a patient (email/letter/text),Studying: Answer questions about topics,Studying: Summarize content (e.g. lectures, text resources),Write clinical or academic presentations",1,131,0.76%
,"Generate differential diagnoses,Ask questions about medical management,Summarize EHR notes,Write EHR notes (medical record documentation),Studying: Answer questions about topics,Studying: Summarize content (e.g. lectures, text resources),Summarize research papers,Write manuscripts,Write clinical or academic presentations,Other",1,131,0.76%
,"Studying: Answer questions about topics,Summarize research papers,Write manuscripts,Write clinical or academic presentations,Create marketing/advertising content (website/print/email/social)",1,131,0.76%
,"Studying: Summarize content (e.g. lectures, text resources)",1,131,0.76%
,Create marketing/advertising content (website/print/email/social),1,131,0.76%
,"Studying: Summarize content (e.g. lectures, text resources),Studying: Generate practice questions/flashcards",1,131,0.76%
,"Studying: Answer questions about topics,Write clinical or academic presentations",1,131,0.76%
,"Generate/identify photographs to help with diagnosis,Ask questions about medical management,Create patient handouts,Studying: Answer questions about topics,Studying: Summarize content (e.g. lectures, text resources),Studying: Generate practice questions/flashcards,Summarize research papers",1,131,0.76%
,"Studying: Answer questions about topics,Studying: Summarize content (e.g. lectures, text resources),Studying: Generate practice questions/flashcards,Summarize research papers,Write clinical or academic presentations",1,131,0.76%
,"Write manuscripts,Write clinical or academic presentations,Other",1,131,0.76%
,"Generate differential diagnoses,Generate response to a patient (email/letter/text),Other",1,131,0.76%
,"Studying: Answer questions about topics,Studying: Summarize content (e.g. lectures, text resources),Summarize research papers,Create marketing/advertising content (website/print/email/social)",1,131,0.76%
,"Studying: Answer questions about topics,Studying: Summarize content (e.g. lectures, text resources),Studying: Generate practice questions/flashcards",1,131,0.76%
,"Generate differential diagnoses,Studying: Answer questions about topics,Studying: Summarize content (e.g. lectures, text resources),Studying: Generate practice questions/flashcards",1,131,0.76%
,"Summarize EHR notes,Write EHR notes (medical record documentation),Studying: Answer questions about topics,Write manuscripts,Create marketing/advertising content (website/print/email/social)",1,131,0.76%
,"Generate differential diagnoses,Ask questions about medical management,Studying: Answer questions about topics,Studying: Summarize content (e.g. lectures, text resources),Write manuscripts",1,131,0.76%
,Generate/identify photographs to help with diagnosis,1,131,0.76%
,"Generate differential diagnoses,Ask questions about medical management,Generate response to a patient (email/letter/text),Studying: Summarize content (e.g. lectures, text resources),Write manuscripts,Write clinical or academic presentations",1,131,0.76%
,"Generate differential diagnoses,Ask questions about medical management,Studying: Answer questions about topics,Studying: Generate practice questions/flashcards,Summarize research papers",1,131,0.76%
,"Studying: Answer questions about topics,Studying: Generate practice questions/flashcards",1,131,0.76%
How accurate did you find AI-based language models?,Somewhat accurate (a few mistakes),43,131,32.82%
,"Neither accurate nor inaccurate (a number of mistakes, but still useable)",17,131,12.98%
,Extremely accurate (almost no mistakes),6,131,4.58%
,Extremely inaccurate (completely unusable),3,131,2.29%
,Somewhat inaccurate (too many mistakes to use in most cases),2,131,1.53%
"In a single output given to you by an AI-based language model, on average how many edits have you needed to make?",Moderate editing (5-10 changes),31,131,23.66%
,Minimal editing (less than 5 changes),23,131,17.56%
,Significant editing (greater than 10 changes),10,131,7.63%
,No editing,7,131,5.34%
Do you have any concerns about AI-based language models? (Check all that apply) - Selected Choice,"Concerns about privacy,Concerns about accuracy,Concerns about bias,Concerns about patients or non-physicians using it to get medical information",21,131,16.03%
,"Concerns about privacy,Concerns about accuracy,Concerns about bias",10,131,7.63%
,Concerns about accuracy,9,131,6.87%
,"Concerns about accuracy,Concerns about bias,Concerns about patients or non-physicians using it to get medical information",7,131,5.34%
,"Concerns about accuracy,Concerns about patients or non-physicians using it to get medical information",6,131,4.58%
,"Concerns about privacy,Concerns about accuracy",4,131,3.05%
,"Concerns about accuracy,Concerns about bias",4,131,3.05%
,No concerns,3,131,2.29%
,Concerns about bias,3,131,2.29%
,Concerns about privacy,2,131,1.53%
,Concerns about patients or non-physicians using it to get medical information,1,131,0.76%
,"No concerns,Concerns about privacy",1,131,0.76%
,"No concerns,Concerns about accuracy",1,131,0.76%
,"Concerns about privacy,Concerns about accuracy,Concerns about bias,Concerns about patients or non-physicians using it to get medical information,Other",1,131,0.76%
,"Concerns about accuracy,Concerns about bias,Concerns about patients or non-physicians using it to get medical information,Other",1,131,0.76%
,"Concerns about privacy,Concerns about patients or non-physicians using it to get medical information",1,131,0.76%
,"Concerns about privacy,Concerns about accuracy,Concerns about patients or non-physicians using it to get medical information",1,131,0.76%
,"No concerns,Concerns about privacy,Concerns about bias,Concerns about patients or non-physicians using it to get medical information",1,131,0.76%
,"Concerns about privacy,Concerns about bias",1,131,0.76%
